validity,flip_validity,y_orig,y_cf,p_orig,p_cf,prob_gain_toward_target,prob_margin_before,prob_margin_after,logit_margin_before,logit_margin_after,sparsity,proximity_l1,proximity_l2,proximity_l1_std,proximity_l2_std,immutability_violations,bound_violations,onehot_violations,plausibility_mse,source_index
1,1,0,1,0.08961468935012817,0.6123895645141602,0.522774875164032,0.4103853106498718,0.11238956451416016,2.318348678007809,0.4573678203360831,2,39.99999847263098,39.110355159133874,,,0,0,0,,45894
1,1,0,1,0.49581483006477356,0.522136926651001,0.026322096586227417,0.00418516993522644,0.022136926651000977,0.016741070722466223,0.08860563105110675,2,1.1999999731779099,0.8944271776719124,,,0,0,0,,45863
1,1,0,1,0.42835938930511475,0.6099896430969238,0.18163025379180908,0.07164061069488525,0.10998964309692383,0.28854795306019276,0.44726868356076976,2,3.0999999046325684,2.6476403653233125,,,0,0,0,,45829
1,1,0,1,0.155748650431633,0.5378366708755493,0.3820880055427551,0.344251349568367,0.037836670875549316,1.6902067651409676,0.15163657348766701,2,1.5000000298023224,1.1704700155153311,,,0,0,0,,45821
1,1,0,1,0.45094579458236694,0.5116211771965027,0.06067538261413574,0.04905420541763306,0.011621177196502686,0.1968500285749436,0.046493081955736426,2,63.19999694824219,62.70199053706014,,,0,0,0,,45812
1,1,0,1,0.06743042171001434,0.5138845443725586,0.44645410776138306,0.43256957828998566,0.013884544372558594,2.6268474867542393,0.05555245967433453,3,4.399999916553497,2.908607835348752,,,0,0,0,,45808
1,1,0,1,0.28896021842956543,0.5538815855979919,0.2649213671684265,0.21103978157043457,0.05388158559799194,0.9004393536692621,0.21636649956887788,2,54.39999847114086,53.6059682910496,,,0,0,0,,45807
1,1,0,1,0.2465267777442932,0.5235734581947327,0.27704668045043945,0.2534732222557068,0.023573458194732666,1.1172228602137242,0.09436379254893046,2,1.699999988079071,1.2206555547371665,,,0,0,0,,45793
1,1,0,1,0.11262109130620956,0.5249866247177124,0.41236552596092224,0.38737890869379044,0.024986624717712402,2.064243061189269,0.10002982341169464,3,3.9999999701976776,2.7820855370795097,,,0,0,0,,45784
1,1,0,1,0.21844518184661865,0.7305647730827332,0.5121195912361145,0.28155481815338135,0.23056477308273315,1.2747501931296743,0.9974898807066235,2,1.6000000089406967,1.1313708562205034,,,0,0,0,,45783
1,1,0,1,0.30088871717453003,0.5285138487815857,0.22762513160705566,0.19911128282546997,0.028513848781585693,0.8430694464545205,0.11417927901658664,2,2.9000000953674316,2.451530227789101,,,0,0,0,,45773
1,1,0,1,0.49286600947380066,0.6005748510360718,0.10770884156227112,0.007133990526199341,0.10057485103607178,0.028537898746877732,0.407860895746219,2,7.5999996066093445,6.935415973034971,,,0,0,0,,45768
1,1,0,1,0.1941935420036316,0.6725824475288391,0.4783889055252075,0.3058064579963684,0.1725824475288391,1.4229882861702015,0.7198884273155473,2,3.8999998569488525,2.780287675998628,,,0,0,0,,45762
1,1,0,1,0.10788226127624512,0.518237829208374,0.4103555679321289,0.3921177387237549,0.018237829208374023,2.1125576588695867,0.07298369595359744,3,13.400000035762787,9.833615829092642,,,0,0,0,,45745
1,1,0,1,0.05707963928580284,0.5846018195152283,0.5275222063064575,0.44292036071419716,0.08460181951522827,2.804534352815011,0.341693433802679,3,4.299999989569187,3.0248966858005026,,,0,0,0,,45724
1,1,0,1,0.4782893657684326,0.5700293183326721,0.0917399525642395,0.021710634231567383,0.07002931833267212,0.08689717657983398,0.2819707709830882,2,1.300000011920929,0.9219544521943205,,,0,0,0,,45720
1,1,0,1,0.17742428183555603,0.6211258769035339,0.4437015950679779,0.32257571816444397,0.12112587690353394,1.5338966002653038,0.49432974083800235,2,2.3000000715255737,1.6643317650376905,,,0,0,0,,45715
1,1,0,1,0.1627749502658844,0.6058893203735352,0.44311437010765076,0.3372250497341156,0.10588932037353516,1.637724337388579,0.43006554713417344,2,3.699999988079071,3.0805843574410847,,,0,0,0,,45699
1,1,0,1,0.22833244502544403,0.7280062437057495,0.4996737837791443,0.27166755497455597,0.2280062437057495,1.2177511698194614,0.9845305134468123,3,3.799999952316284,2.293468952891094,,,0,0,0,,45695
1,1,0,1,0.11719481647014618,0.5982491374015808,0.48105430603027344,0.3828051835298538,0.09824913740158081,2.019266897963123,0.39817513320016695,2,2.899999812245369,2.7073970841426025,,,0,0,0,,45683
1,1,0,1,0.40547603368759155,0.5724059343338013,0.16692990064620972,0.09452396631240845,0.07240593433380127,0.3826992600161322,0.29167411426964374,2,4.099999904632568,3.2572994042184598,,,0,0,0,,45671
1,1,0,1,0.16648626327514648,0.5309724807739258,0.3644862174987793,0.3335137367248535,0.03097248077392578,1.6107373796637336,0.12404875150134809,2,3.5999999046325684,2.683281572999756,,,0,0,0,,45663
1,1,0,1,0.2784042954444885,0.7439877390861511,0.4655834436416626,0.22159570455551147,0.24398773908615112,0.9523906586833734,1.0667992174469902,2,34.30000162124634,31.53363436678888,,,0,0,0,,45656
1,1,0,1,0.2863798439502716,0.5764317512512207,0.2900519073009491,0.2136201560497284,0.0764317512512207,0.9130317711109928,0.3081422928759694,2,10.199999988079071,9.525754562411878,,,0,0,0,,45644
1,1,0,1,0.06218751519918442,0.5974903702735901,0.5353028774261475,0.4378124848008156,0.09749037027359009,2.7133957600998477,0.39501914562033347,2,37.80000078678131,36.71648207620399,,,0,0,0,,45634
1,1,0,1,0.28079578280448914,0.5681211948394775,0.2873254120349884,0.21920421719551086,0.06812119483947754,0.9405176933351175,0.27418976188252997,2,18.900001525878906,18.406793749926848,,,0,0,0,,45631
1,1,0,1,0.18351984024047852,0.577070415019989,0.3935505747795105,0.3164801597595215,0.07707041501998901,1.4926798301328035,0.31075859607103196,2,2.8000000715255737,2.1023796801436476,,,0,0,0,,45630
1,1,0,1,0.3629297912120819,0.5354828834533691,0.17255309224128723,0.1370702087879181,0.03548288345336914,0.5626704644567203,0.14217051872875808,2,24.800000369548798,24.11016421284085,,,0,0,0,,45616
